,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
39,Robert Arboleda\Robert-Arboleda,ec ECU,DF,São Paulo,27,1991,29,29,2565,1,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Matches
40,Pablo Armero\Pablo-Armero,co COL,DF,CSA,32,1986,3,2,203,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Arthur\Arthur,br BRA,FW,Palmeiras,20,1998,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Arthur\Arthur,br BRA,MFFW,Bahia,26,1992,29,9,1114,6,1,1,1,5,2,0.48,0.08,0.57,0.40,0.48,Matches
43,Arthur\Arthur,br BRA,MF,Chapecoense,20,1998,30,18,1918,4,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
44,Artur\Artur,br BRA,FWMF,Bahia,20,1998,32,32,2828,7,3,0,1,7,0,0.22,0.10,0.32,0.22,0.32,Matches
45,Léo Artur\Leo-Artur,br BRA,MFFW,Fluminense,23,1995,7,3,201,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Giovanni Augusto\Giovanni-Augusto,br BRA,MF,Goiás,29,1989,12,10,778,0,1,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches
47,Auremir\Auremir,br BRA,MF,Ceará,27,1991,7,5,391,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Danilo Avelar\Danilo-Avelar,br BRA,DF,Corinthians,29,1989,25,25,2177,2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
49,Aylon\Aylon,br BRA,MF,Chapecoense,26,1992,9,2,246,0,1,0,0,2,0,0.00,0.37,0.37,0.00,0.37,Matches
50,Márcio Azevedo\Marcio-Azevedo,br BRA,DF,Atl Paranaense,32,1986,26,20,1865,1,3,0,0,7,0,0.05,0.14,0.19,0.05,0.19,Matches
51,Robson Bambu\Robson-Bambu,br BRA,DF,Atl Paranaense,21,1997,8,7,599,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Diogo Barbosa\Diogo-Barbosa,br BRA,DF,Palmeiras,26,1992,33,33,2970,0,2,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
53,Gabriel Barbosa\Gabriel-Barbosa,br BRA,FWMF,Flamengo,22,1996,29,29,2546,24,9,5,5,13,1,0.85,0.32,1.17,0.67,0.99,Matches
54,Matheus Barbosa\Matheus-Barbosa,br BRA,MF,Avaí,24,1994,18,14,1079,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
55,Danilo Barcelos\Danilo-Barcelos,br BRA,DFMF,Vasco da Gama,27,1991,21,18,1659,2,2,1,1,5,1,0.11,0.11,0.22,0.05,0.16,Matches
56,Leandro Barcia\Leandro-Barcia,uy URU,MFFW,Goiás,26,1992,35,32,2794,5,3,0,0,9,0,0.16,0.10,0.26,0.16,0.26,Matches
57,Lucas Barros\Lucas-Barros,br BRA,DF,Botafogo (RJ),19,1999,12,5,553,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Fellipe Bastos\Fellipe-Bastos,br BRA,MF,Vasco da Gama,28,1990,14,5,571,1,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,Matches
59,Gabriel Batista\Gabriel-Batista,br BRA,GK,Flamengo,20,1998,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Muriel Becker\Muriel-Becker,br BRA,GK,Fluminense,31,1987,21,21,1890,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Ramiro Benetti\Ramiro-Benetti,br BRA,MF,Corinthians,25,1993,18,13,982,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
62,Orlando Berrío\Orlando-Berrio,co COL,MFFW,Flamengo,27,1991,16,4,448,1,2,0,0,3,1,0.20,0.40,0.60,0.20,0.60,Matches
63,Betão\Betao,br BRA,DF,Avaí,35,1983,28,28,2492,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
