,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
158,Ernandes Dias Luz\Ernandes-Dias-Luz,br BRA,DF,Chapecoense,31,1987,2,1,111,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Gabriel Dias\Gabriel-Dias,br BRA,DFMF,Fortaleza,24,1994,28,25,2211,2,2,0,0,11,1,0.08,0.08,0.16,0.08,0.16,Matches
160,Lucas Dias\Lucas-Dias,br BRA,DF,CSA,23,1995,2,1,99,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
161,Didira\Didira,br BRA,MF,CSA,30,1988,14,13,999,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
162,Diego\Diego,br BRA,MF,São Paulo,19,1999,1,0,38,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
163,Diego\Diego,br BRA,MF,Flamengo,33,1985,16,10,886,1,1,0,1,5,0,0.10,0.10,0.20,0.10,0.20,Matches
164,Digão\Digao,br BRA,DF,Fluminense,30,1988,21,21,1757,1,0,0,0,5,2,0.05,0.00,0.05,0.05,0.05,Matches
165,Dodi\Dodi,br BRA,MF,Fluminense,22,1996,9,2,364,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
166,Dodô\Dodo,br BRA,DF,Cruzeiro,26,1992,18,14,1352,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
167,Dodô\Dodo,br BRA,MF,Fortaleza,24,1994,5,1,154,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
168,Douglas dos Santos\Douglas-dos-Santos,br BRA,MF,Avaí,36,1982,12,4,501,0,1,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
169,Thiago dos Santos\Thiago-dos-Santos,br BRA,MF,Palmeiras,29,1989,18,11,1081,1,0,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
170,Douglas\Douglas,br BRA,DF,Chapecoense,28,1990,27,26,2290,0,1,0,0,9,0,0.00,0.04,0.04,0.00,0.04,Matches
171,Douglas\Douglas,br BRA,MF,Bahia,22,1997,7,7,595,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Henrique Dourado\Henrique-Dourado,br BRA,FW,Palmeiras,29,1989,4,0,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Rodrigo Dourado\Rodrigo-Dourado,br BRA,MF,Internacional,24,1994,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Edu Dracena\Edu-Dracena,br BRA,DF,Palmeiras,37,1981,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
175,David Duarte\David-Duarte,br BRA,DF,Goiás,24,1995,7,7,541,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
176,Léo Duarte\Leo-Duarte,br BRA,DF,Flamengo,22,1996,7,7,600,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
177,Dudu\Dudu,br BRA,MF,Palmeiras,27,1992,36,34,3070,9,10,0,0,5,0,0.26,0.29,0.56,0.26,0.56,Matches
178,Pablo Dyego\Pablo-Dyego,br BRA,MF,Fluminense,24,1994,9,0,117,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Edenílson\Edenilson,br BRA,MF,Internacional,29,1989,30,28,2472,5,2,0,0,8,0,0.18,0.07,0.25,0.18,0.25,Matches
180,Éderson\Ederson,br BRA,MF,Cruzeiro,19,1999,21,20,1648,2,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches
181,Edinho\Edinho,br BRA,MF,Fortaleza,24,1994,29,20,1750,3,1,0,0,1,0,0.15,0.05,0.21,0.15,0.21,Matches
182,Eduardo\Eduardo,br BRA,DF,Chapecoense,32,1986,26,24,2166,0,2,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
183,Carlos Eduardo\Carlos-Eduardo,br BRA,MF,Palmeiras,22,1996,7,1,233,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Élber\Elber,br BRA,FWMF,Bahia,26,1992,31,24,1866,3,2,0,0,3,0,0.14,0.10,0.24,0.14,0.24,Matches
185,Elías\Elias,br BRA,MF,Atlético Mineiro,33,1985,25,25,2023,1,1,0,0,3,1,0.04,0.04,0.09,0.04,0.09,Matches
186,Elicarlos\Elicarlos,br BRA,MF,Chapecoense,33,1985,19,16,1506,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
187,Elton\Elton,br BRA,MF,Bahia,28,1990,9,7,607,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
188,Emanuel\Emanuel,br BRA,DF,Grêmio,19,1999,1,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
189,Erick\Erick,br BRA,MFDF,Atl Paranaense,21,1997,14,7,759,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
190,Erik\Erik,br BRA,DF,Internacional,17,2001,2,0,83,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Ernando\Ernando,br BRA,DF,Bahia,30,1988,8,8,720,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
192,Euller\Euller,br BRA,MFDF,CSA,24,1995,16,11,895,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Evanilson\Evanilson,br BRA,FW,Fluminense,19,1999,3,1,103,2,0,0,0,1,0,1.75,0.00,1.75,1.75,1.75,Matches
194,Everaldo\Everaldo,br BRA,MF,Corinthians,24,1994,9,3,330,1,0,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
195,Everaldo\Everaldo,br BRA,FW,Fluminense,24,1994,2,2,180,0,1,0,0,1,0,0.00,0.50,0.50,0.00,0.50,Matches
196,Éverson\Everson,br BRA,GK,Santos,28,1990,32,32,2880,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
197,Éverton\Everton,br BRA,MF,São Paulo,30,1988,16,12,1061,1,2,0,0,3,0,0.08,0.17,0.25,0.08,0.25,Matches
198,Ewandro\Ewandro,br BRA,FW,Fluminense,22,1996,2,0,10,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
199,Ezequiel\Ezequiel,br BRA,DF,Bahia,25,1993,6,5,444,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Ezequiel\Ezequiel,br BRA,MFFW,Cruzeiro,20,1998,14,2,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
201,Diego Fabián Torres\Diego-Fabian-Torres,ar ARG,MF,Chapecoense,28,1990,13,3,413,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches
202,Bruno Fabiano Alves\Bruno-Fabiano-Alves,br BRA,DF,São Paulo,27,1991,33,33,2925,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches
203,Patrick Fabiano\Patrick-Fabiano,tl TLS,FW,CSA,31,1987,5,4,351,0,1,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
204,Fabinho\Fabinho,br BRA,FW,São Paulo,19,1999,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
205,Fábio\Fabio,br BRA,GK,Cruzeiro,38,1980,35,35,3150,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
206,Fagner\Fagner,br BRA,DF,Corinthians,29,1989,30,28,2559,1,3,0,0,8,0,0.04,0.11,0.14,0.04,0.14,Matches
207,Willian Farias\Willian-Farias,br BRA,MF,São Paulo,29,1989,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Felipe\Felipe,br BRA,DF,Grêmio,19,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Felipe\Felipe,br BRA,MF,Fortaleza,24,1994,30,30,2665,0,1,0,0,12,0,0.00,0.03,0.03,0.00,0.03,Matches
210,Everton Felipe\Everton-Felipe,br BRA,MF,São Paulo,21,1997,3,0,81,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
211,Everton Felipe\Everton-Felipe,br BRA,MF,Atl Paranaense,21,1997,5,2,176,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
212,Luis Felipe\Luis-Felipe,br BRA,DF,Santos,25,1993,8,3,331,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
213,Marcos Felipe\Marcos-Felipe,br BRA,GK,Fluminense,22,1996,6,6,540,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
214,Fernandão\Fernandao,br BRA,FW,Bahia,31,1987,32,11,1082,5,0,2,2,1,1,0.42,0.00,0.42,0.25,0.25,Matches
215,Danilo Fernandes\Danilo-Fernandes,br BRA,GK,Internacional,30,1988,5,4,394,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Matheus Fernandes\Matheus-Fernandes,br BRA,MF,Palmeiras,20,1998,11,6,537,1,0,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
217,Gatito Fernández\Gatito-Fernandez,py PAR,GK,Botafogo (RJ),30,1988,30,30,2655,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
218,Fernando\Fernando,br BRA,DF,Botafogo (RJ),20,1998,22,19,1682,0,1,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches
219,Luiz Fernando\Luiz-Fernando,br BRA,MFFW,Botafogo (RJ),22,1996,32,27,2128,1,0,0,0,7,1,0.04,0.00,0.04,0.04,0.04,Matches
220,Gustavo Ferrareis\Gustavo-Ferrareis,br BRA,MF,Avaí,23,1996,8,5,422,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
221,Gustavo Ferrareis\Gustavo-Ferrareis,br BRA,MF,Botafogo (RJ),23,1996,2,0,58,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
222,Matheus Ferraz\Matheus-Ferraz,br BRA,DF,Fluminense,33,1985,7,7,572,1,0,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
223,Victor Ferraz\Victor-Ferraz,br BRA,DFMF,Santos,31,1988,25,21,1948,0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
224,Ferreira\Ferreira,br BRA,MF,Grêmio,21,1997,4,1,147,1,3,0,0,0,0,0.61,1.84,2.45,0.61,2.45,Matches
225,Felipe Ferreira\Felipe-Ferreira,br BRA,MF,Vasco da Gama,24,1994,9,3,371,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
226,Matheus Ferreira\Matheus-Ferreira,br BRA,FW,Avaí,20,1998,2,1,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
227,Miguel Figueira\Miguel-Figueira,br BRA,FW,Goiás,18,2000,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Flávio\Flavio,br BRA,MF,Bahia,22,1996,28,27,2334,0,1,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
229,Lucas Fonseca\Lucas-Fonseca,br BRA,DF,Bahia,33,1985,35,35,3114,0,1,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches
230,Caíque França\Caique-Franca,br BRA,GK,Corinthians,23,1995,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
231,Lucas França\Lucas-Franca,br BRA,GK,Ceará,23,1996,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
232,Richard Franco\Richard-Franco,py PAR,MF,Avaí,26,1992,27,26,2286,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
233,Frazan\Frazan,br BRA,DF,Fluminense,22,1996,11,5,557,1,0,0,0,2,2,0.16,0.00,0.16,0.16,0.16,Matches
234,Fred\Fred,br BRA,FW,Cruzeiro,35,1983,30,23,2206,5,3,3,3,10,0,0.20,0.12,0.33,0.08,0.20,Matches
235,Douglas Friedrich\Douglas-Friedrich,br BRA,GK,Bahia,30,1988,37,37,3330,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Lucas Frigeri\Lucas-Frigeri,br BRA,GK,Avaí,29,1989,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Matheus Frizzo\Matheus-Frizzo,br BRA,MF,Grêmio,20,1998,1,1,83,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Bruno Fuchs\Bruno-Fuchs,br BRA,DF,Internacional,19,1999,10,9,792,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
239,Gabriel\Gabriel,br BRA,DF,São Paulo,17,2002,1,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Gabriel\Gabriel,br BRA,MF,Internacional,20,1999,2,1,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
241,Gabriel\Gabriel,br BRA,MF,São Paulo,19,1999,5,1,132,0,1,0,0,1,0,0.00,0.68,0.68,0.00,0.68,Matches
242,Gabriel\Gabriel,br BRA,MF,Corinthians,26,1992,17,16,1377,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Gabriel\Gabriel,br BRA,DF,Botafogo (RJ),23,1995,34,34,3003,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches
244,Marquinhos Gabriel\Marquinhos-Gabriel,br BRA,MF,Cruzeiro,28,1990,28,20,1800,0,2,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
245,Vitor Gabriel\Vitor-Gabriel,br BRA,FW,Flamengo,19,2000,1,0,45,0,1,0,0,0,0,0.00,2.00,2.00,0.00,2.00,Matches
246,Rafael Galhardo\Rafael-Galhardo,br BRA,DFMF,Grêmio,27,1991,16,15,1178,2,3,1,1,2,1,0.15,0.23,0.38,0.08,0.31,Matches
247,Thiago Galhardo\Thiago-Galhardo,br BRA,MFFW,Ceará,29,1989,34,31,2674,12,1,3,4,4,0,0.40,0.03,0.44,0.30,0.34,Matches
248,Rodolfo Gamarra\Rodolfo-Gamarra,py PAR,FWMF,CSA,30,1988,2,0,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
249,Ganso\Ganso,br BRA,MF,Fluminense,29,1989,29,26,2255,2,0,1,1,7,0,0.08,0.00,0.08,0.04,0.04,Matches
250,Luan Garcia\Luan-Garcia,br BRA,DF,Palmeiras,25,1993,21,20,1805,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
251,Gegê\Gege,br BRA,MF,Avaí,25,1994,11,6,511,1,0,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
252,Geovane\Geovane,br BRA,MF,Goiás,29,1989,17,16,1386,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
253,Pedro Geromel\Pedro-Geromel,br BRA,DF,Grêmio,33,1985,20,20,1762,3,0,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches
254,Gerson\Gerson,br BRA,MF,Flamengo,21,1997,27,23,2003,2,3,0,0,3,0,0.09,0.13,0.22,0.09,0.22,Matches
255,Gerson\Gerson,br BRA,DF,CSA,27,1992,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Getúlio\Getulio,br BRA,FWMF,Avaí,21,1997,8,6,488,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Geuvânio\Geuvanio,br BRA,MF,Atlético Mineiro,26,1992,25,9,992,0,1,0,0,6,1,0.00,0.09,0.09,0.00,0.09,Matches
258,Gil\Gil,br BRA,DF,Corinthians,31,1987,29,29,2610,1,0,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
259,Gilberto\Gilberto,br BRA,FW,Bahia,29,1989,32,27,2348,14,3,6,6,2,0,0.54,0.11,0.65,0.31,0.42,Matches
260,Gilberto\Gilberto,br BRA,MF,Goiás,30,1988,20,18,1601,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
261,Gilberto\Gilberto,br BRA,DF,Fluminense,25,1993,31,31,2746,0,2,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
262,Gilson\Gilson,br BRA,DF,Botafogo (RJ),32,1986,18,18,1508,0,1,0,0,5,2,0.00,0.06,0.06,0.00,0.06,Matches
263,Giovanny\Giovanny,br BRA,MF,Goiás,21,1997,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
264,Glédson\Gledson,br BRA,GK,Avaí,35,1983,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
265,Evandro Goebel\Evandro-Goebel,br BRA,MF,Santos,32,1986,18,14,1100,1,5,0,0,2,1,0.08,0.41,0.49,0.08,0.49,Matches
266,Bruno Gomes\Bruno-Gomes,br BRA,MF,Vasco da Gama,17,2001,8,6,436,1,0,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches
267,Igor Gomes\Igor-Gomes,br BRA,MF,São Paulo,19,1999,27,11,1349,2,2,0,0,3,0,0.13,0.13,0.27,0.13,0.27,Matches
268,Leonardo Gomes\Leonardo-Gomes,br BRA,DF,Grêmio,22,1996,9,9,810,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
269,Gustavo Gómez\Gustavo-Gomez,py PAR,DF,Palmeiras,25,1993,22,22,1953,3,0,1,1,6,1,0.14,0.00,0.14,0.09,0.09,Matches
270,Mateus Gonçalves Martins\Mateus-Goncalves-Martins,br BRA,MF,Ceará,24,1994,24,8,923,4,1,0,0,2,0,0.39,0.10,0.49,0.39,0.49,Matches
271,Fábio Gonçalves\Fabio-Goncalves,br BRA,MF,Ceará,32,1986,35,35,3123,1,0,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches
272,Derlis González\Derlis-Gonzalez,py PAR,FWMF,Santos,24,1994,16,9,806,1,0,0,0,5,1,0.11,0.00,0.11,0.11,0.11,Matches
273,Lucho González\Lucho-Gonzalez,ar ARG,MFDF,Atl Paranaense,38,1981,17,10,819,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
274,Yony González\Yony-Gonzalez,co COL,MFFW,Fluminense,24,1994,34,34,2921,6,2,0,0,3,0,0.18,0.06,0.25,0.18,0.25,Matches
275,Ricardo Goulart\Ricardo-Goulart,br BRA,MF,Palmeiras,27,1991,1,1,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
276,Igor Goularte\Igor-Goularte,br BRA,FWMF,Avaí,22,1996,7,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
277,Fredy Guarín\Fredy-Guarin,co COL,MFFW,Vasco da Gama,32,1986,12,9,799,3,0,0,0,3,0,0.34,0.00,0.34,0.34,0.34,Matches
278,Daniel Guedes\Daniel-Guedes,br BRA,DF,Goiás,24,1994,15,13,1219,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
279,Alejandro Guerra\Alejandro-Guerra,ve VEN,MFFW,Bahia,33,1985,17,8,695,1,2,0,0,6,0,0.13,0.26,0.39,0.13,0.39,Matches
280,Paolo Guerrero\Paolo-Guerrero,pe PER,FW,Internacional,35,1984,24,23,2013,10,1,0,1,3,1,0.45,0.04,0.49,0.45,0.49,Matches
281,Guga\Guga,br BRA,DF,Atlético Mineiro,20,1998,18,18,1551,0,4,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
282,Guilherme\Guilherme,br BRA,MF,Fluminense,30,1988,8,1,193,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
283,Guilherme\Guilherme,br BRA,FW,Grêmio,17,2001,2,0,27,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Bruno Guimarães\Bruno-Guimaraes,br BRA,MF,Atl Paranaense,21,1997,25,23,1964,2,1,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches
285,Gum\Gum,br BRA,DF,Chapecoense,33,1986,20,20,1741,1,0,0,0,1,2,0.05,0.00,0.05,0.05,0.05,Matches
286,Gustavo\Gustavo,br BRA,FW,Corinthians,24,1994,25,9,1004,5,2,1,1,2,0,0.45,0.18,0.63,0.36,0.54,Matches
287,Luiz Gustavo\Luiz-Gustavo,br BRA,DF,Vasco da Gama,24,1994,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
288,Lucas Halter\Lucas-Halter,br BRA,DF,Atl Paranaense,18,2000,9,7,671,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
289,Heitor\Heitor,br BRA,DF,Internacional,18,2000,20,20,1748,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
290,Thiago Heleno\Thiago-Heleno,br BRA,DF,Atl Paranaense,30,1988,16,16,1420,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
291,Henrique\Henrique,br BRA,DF,Vasco da Gama,24,1994,21,20,1711,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
292,Henrique\Henrique,br BRA,DF,Corinthians,32,1986,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
293,Bruno Henrique\Bruno-Henrique,br BRA,MF,Palmeiras,29,1989,34,33,2902,10,2,1,1,2,0,0.31,0.06,0.37,0.28,0.34,Matches
294,Bruno Henrique\Bruno-Henrique,br BRA,MFFW,Flamengo,28,1990,33,29,2571,22,3,0,1,9,0,0.77,0.11,0.88,0.77,0.88,Matches
295,Gustavo Henrique\Gustavo-Henrique,br BRA,DF,Santos,25,1993,32,32,2756,3,0,0,0,10,2,0.10,0.00,0.10,0.10,0.10,Matches
296,Luis Henrique\Luis-Henrique,br BRA,MF,Botafogo (RJ),17,2001,2,1,123,0,1,0,0,0,0,0.00,0.73,0.73,0.00,0.73,Matches
297,Matheus Henrique\Matheus-Henrique,br BRA,MF,Grêmio,21,1997,20,20,1766,0,1,0,0,9,0,0.00,0.05,0.05,0.00,0.05,Matches
298,Pedro Henrique\Pedro-Henrique,br BRA,DF,Atl Paranaense,23,1995,13,13,1143,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
299,Pedro Henrique\Pedro-Henrique,br BRA,DF,Corinthians,23,1995,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
300,Oswaldo Henríquez\Oswaldo-Henriquez,co COL,DF,Vasco da Gama,29,1989,27,27,2430,1,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,Matches
301,Marcelo Hermes\Marcelo-Hermes,br BRA,DFMF,Goiás,23,1995,12,7,731,0,3,0,0,3,0,0.00,0.37,0.37,0.00,0.37,Matches
302,Lucas Hernández\Lucas-Hernandez,uy URU,DF,Atlético Mineiro,26,1992,5,5,449,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
303,Hernanes\Hernanes,br BRA,MF,São Paulo,33,1985,25,13,1242,2,4,0,0,4,0,0.14,0.29,0.43,0.14,0.43,Matches
304,Roberto Heuchayer\Roberto-Heuchayer,br BRA,MFDF,Chapecoense,28,1990,17,17,1490,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
305,Hiago\Hiago,br BRA,DF,Chapecoense,21,1997,5,2,191,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
306,Hudson\Hudson,br BRA,MFDF,São Paulo,31,1988,16,11,1045,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches
307,Vitor Hugo\Vitor-Hugo,br BRA,DF,Palmeiras,27,1991,20,20,1800,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
308,Hulk\Hulk,br BRA,DF,Atlético Mineiro,19,1999,2,1,91,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
309,Hyoran\Hyoran,br BRA,MF,Palmeiras,25,1993,12,5,453,1,3,0,0,1,0,0.20,0.60,0.79,0.20,0.79,Matches
310,Iago\Iago,br BRA,DF,Internacional,21,1997,5,5,450,0,1,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
311,Igor\Igor,br BRA,DF,Avaí,26,1992,28,28,2475,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
312,Isaque\Isaque,br BRA,FW,Grêmio,21,1997,2,1,101,1,0,0,0,0,0,0.89,0.00,0.89,0.89,0.89,Matches
313,Iury\Iury,br BRA,DF,Avaí,26,1992,10,9,675,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
314,Jáderson\Jaderson,br BRA,FW,Atl Paranaense,18,2000,1,0,,0,0,0,0,0,0,,,,,,Matches
315,Jadson\Jadson,br BRA,MF,Cruzeiro,17,2001,1,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Jádson\Jadson,br BRA,MF,Corinthians,35,1983,18,5,661,0,1,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
317,Jadson\Jadson,br BRA,MF,Cruzeiro,25,1993,14,8,757,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
318,Jailson\Jailson,br BRA,GK,Palmeiras,37,1981,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
319,Jair\Jair,br BRA,MF,Atlético Mineiro,24,1994,13,10,822,2,0,0,0,3,0,0.22,0.00,0.22,0.22,0.22,Matches
320,Jairinho\Jairinho,br BRA,FW,Vasco da Gama,22,1996,4,0,94,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
321,Janderson\Janderson,br BRA,MF,Corinthians,19,1999,20,10,968,2,1,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches
322,Jean\Jean,br BRA,DF,Palmeiras,32,1986,8,4,420,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
323,Jean\Jean,br BRA,GK,São Paulo,23,1995,1,0,,0,0,0,0,1,0,,,,,,Matches
324,Jean\Jean,br BRA,MF,Botafogo (RJ),24,1994,8,1,175,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
325,Jefferson\Jefferson,br BRA,DF,Goiás,22,1997,33,31,2651,1,2,0,0,5,0,0.03,0.07,0.10,0.03,0.10,Matches
326,Matheus Jesus\Matheus-Jesus,br BRA,MF,Corinthians,21,1997,6,2,203,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
327,Jobson\Jobson,br BRA,MF,Santos,23,1995,4,1,119,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
328,Diederrick Joel\Diederrick-Joel,cm CMR,FW,Cruzeiro,25,1993,4,1,131,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
329,Jonas\Jonas,br BRA,MFFW,São Paulo,19,1999,17,11,947,3,1,0,0,1,1,0.29,0.10,0.38,0.29,0.38,Matches
330,Felipe Jonatan\Felipe-Jonatan,br BRA,MF,Santos,20,1998,26,12,1138,2,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
331,Jonathan\Jonathan,br BRA,DF,Botafogo (RJ),20,1998,5,4,368,0,2,0,0,2,0,0.00,0.49,0.49,0.00,0.49,Matches
332,Jonathan\Jonathan,br BRA,FW,Avaí,19,1999,16,13,1171,3,0,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches
