,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
36,José Alvarado\Jose-Alvarado,mx MEX,FW,Monterrey,18,2000,1,0,11,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Roberto Alvarado\Roberto-Alvarado,mx MEX,MFFW,Cruz Azul,19,1998,34,29,2577,4,5,0,0,2,0,0.14,0.17,0.31,0.14,0.31,Matches
38,Ventura Alvarado\Ventura-Alvarado,us USA,DF,Necaxa,25,1992,30,30,2665,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches
39,Daniel Álvarez López\Daniel-Alvarez-Lopez,mx MEX,MF,Necaxa,24,1994,13,9,796,2,0,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
40,Edson Álvarez\Edson-Alvarez,mx MEX,DFMF,América,20,1997,30,27,2360,1,0,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches
41,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Atlas,30,1988,12,7,514,0,2,0,0,2,0,0.00,0.35,0.35,0.00,0.35,Matches
42,Andrés Andrade\Andres-Andrade,co COL,MFFW,Atlas,29,1989,18,14,1241,2,2,1,1,1,2,0.15,0.15,0.29,0.07,0.22,Matches
43,Miguel Ángel Herrera\Miguel-Angel-Herrera,mx MEX,DF,León,29,1989,22,18,1615,0,2,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
44,Luis Ángel Mendoza\Luis-Angel-Mendoza,mx MEX,MF,Toluca,28,1990,29,22,1822,3,3,0,0,2,0,0.15,0.15,0.30,0.15,0.30,Matches
45,Miguel Ángel Ponce\Miguel-Angel-Ponce,mx MEX,DF,Guadalajara,29,1989,19,15,1418,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Brayan Angulo\Brayan-Angulo,co COL,DF,Puebla,28,1989,28,27,2409,2,2,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
47,Jeison Angulo\Jeison-Angulo,co COL,DF,UNAM,22,1996,7,6,474,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Jesús Angulo\Jesus-Angulo,mx MEX,MF,Tijuana,21,1997,25,11,1205,1,4,0,0,0,0,0.07,0.30,0.37,0.07,0.37,Matches
