,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
36,Alejandro Altuna\Alejandro-Altuna,ar ARG,MF,San Martin,26,1992,7,3,395,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Braian Álvarez\Braian-Alvarez,ar ARG,MF,CA Unión,20,1997,3,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Fabio Álvarez\Fabio-Alvarez,ar ARG,MF,Tucumán,25,1993,14,6,705,2,1,0,0,1,0,0.26,0.13,0.38,0.26,0.38,Matches
39,Federico Álvarez\Federico-Alvarez,ar ARG,DF,Belgrano,23,1994,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Francisco Álvarez\Francisco-Alvarez,ar ARG,DF,San Martín SJ,18,2000,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Juan Álvarez\Juan-Alvarez,ar ARG,MF,Banfield,,,19,14,1145,2,3,0,0,0,0,0.16,0.24,0.39,0.16,0.39,Matches
42,Julián Álvarez\Julian-Alvarez,ar ARG,MFFW,River Plate,18,2000,5,2,308,1,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,Matches
43,Milton Álvarez\Milton-Alvarez,ar ARG,GK,Independiente,29,1989,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Pablo Álvarez\Pablo-Alvarez,ar ARG,DF,CA Huracán,34,1984,9,8,727,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Lisandro Alzugaray\Lisandro-Alzugaray,ar ARG,MF,Newell's OB,28,1990,4,2,137,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Luis Amarilla\Luis-Amarilla,py PAR,FW,Vélez Sarsf,22,1995,6,1,117,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Thomas Amilivia\Thomas-Amilivia,ar ARG,FW,Argentinos Jun,20,1998,2,1,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Emiliano Amor\Emiliano-Amor,ar ARG,DF,Aldosivi,23,1995,23,23,2040,1,0,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
49,Joel Amoroso\Joel-Amoroso,ar ARG,MFFW,Newell's OB,30,1988,9,9,698,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
50,Nicolás Andereggen\Nicolas-Andereggen,ar ARG,FW,CA Unión,18,1999,2,1,81,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Esteban Andrada\Esteban-Andrada,ar ARG,GK,Boca Juniors,27,1991,18,18,1620,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Federico Andrada\Federico-Andrada,ar ARG,FW,CA Unión,24,1994,9,1,231,0,1,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
53,Juan Andrada\Juan-Andrada,ar ARG,MF,Godoy Cruz,23,1995,12,11,819,0,2,0,0,5,1,0.00,0.22,0.22,0.00,0.22,Matches
54,Walter Andrade\Walter-Andrade,ar ARG,DF,Patronato,33,1984,8,6,596,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Fernando Andrés Márquez\Fernando-Andres-Marquez,ar ARG,FW,Defensa y Just,30,1987,10,3,382,2,1,0,0,3,0,0.47,0.24,0.71,0.47,0.71,Matches
56,Mariano Andújar\Mariano-Andujar,ar ARG,GK,Estudiantes,35,1983,24,24,2160,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Miguel Ángel Martínez\Miguel-Angel-Martinez,ar ARG,DF,Belgrano,34,1984,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Miguel Ángel Torrén\Miguel-Angel-Torren,ar ARG,DF,Argentinos Jun,29,1988,23,23,2070,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
